"id","bedroom","bathroom","Den","address","lat","long","price","pet_friendly","parking","pop","owner"
1054,1,1,0,"Bloor and Parliament Street, M4X1R3, Toronto, ON, Canada",43.67203330,-79.37072800,2800,1,1,0,"4"
1055,2,1,0,"M9B 1B3, Canada",43.63560220,-79.54120070,2400,1,1,0,"4"
1056,1,1,0,"100 Harbour St, Toronto, ON M5J 1B7, Canada",43.64180640,-79.37898070,2300,1,0,0,"1"
1057,1,1,0,"100 Harbour St, Toronto, ON M5J 1B7, Canada",43.64180640,-79.37898070,1800,0,1,0,"1"
1058,2,1,0,", Toronto M5T 0A9 ON, Canada",43.65251950,-79.38907780,3700,1,0,0,"3"
1059,1,1,1,"3 Navy Wharf Ct, Toronto, ON M5V 3V1, Canada",43.64026710,-79.39100610,2500,1,1,0,"2"
1060,1,1,0,"38 Elm St, Toronto, ON M5G 2K5, Canada",43.65759940,-79.38364000,2300,1,0,0,"4"
1061,2,2,0,"54 Alanson St, Hamilton, ON L8N 1W5, Canada",43.24641540,-79.85413840,1950,1,1,0,"4"
1062,1,1,0,"Downtown, Toronto, ON, Canada, M5X1K6",43.64865990,-79.38157640,900,0,0,0,"3"
1063,1,1,0,"365 Church Street, M5B 1Z9, Toronto, ON",43.66084600,-79.37875560,1800,1,1,0,"1"
1064,3,2,0,"225 Mutual St, Toronto, ON M5B 2B4, Canada",43.66165350,-79.37755820,3999,1,0,0,"2"
1065,3,1,0,"30 Leitch Ave, North York, ON M3J 3P2, Canada",43.76696900,-79.49675380,2500,1,1,0,"4"
1066,1,1,0,", Toronto M5T 2N7 ON, Canada",43.65542920,-79.40400730,1050,1,1,0,"3"
1067,1,1,0,"460 Adelaide St E, Toronto, ON M5A 1N4, Canada",43.65275740,-79.36651080,2000,1,0,0,"1"
1068,1,1,0,"155 Wellington St W, Toronto, ON M5V 3K7, Canada",43.64559470,-79.38606300,2000,0,1,0,"3"
1069,1,1,0,"39 Brant St, Toronto, ON M5V 1S7, Canada",43.64643360,-79.39780640,2500,1,0,0,"4"
1070,2,2,0,"21 Carlton St, Toronto, ON M5B 1L3, Canada",43.66110270,-79.38210610,2800,1,0,0,"3"
1071,1,1,1,"M5V3Z7, Canada",43.64086370,-79.39573930,2350,1,1,0,"1"
1072,1,1,0,"L6Z3M4, Canada",43.74140780,-79.81601690,900,0,1,0,"4"
1073,1,1,0,"426 University Ave, Toronto, ON M5G 1S9, Canada",43.65394870,-79.38857010,2100,0,0,0,"3"
1074,1,1,0,", Downtown Toronto M5C 2V9 ON, Canada",43.65032410,-79.37796930,1400,1,1,0,"1"
1075,1,1,0,"Dan Leckie Way, Toronto, ON M5V, Canada",43.63842190,-79.39759560,2000,1,0,0,"3"
1076,1,1,0,"168 Simcoe St, Toronto, ON M5H 4C9, Canada",43.65009170,-79.38737380,3200,0,0,0,"1"
1077,1,1,0,"200 Bay St, Toronto, ON M5J 2T6, Canada",43.64651620,-79.38005960,1000,1,1,0,"2"
1078,2,2,0,"435 Richmond St W, Toronto, ON M5V 1X9, Canada",43.64762440,-79.39686080,2850,0,0,0,"1"
1079,1,1,0,", Toronto M4B 1B3 ON",43.70042740,-79.29611320,1000,1,0,0,"1"
1080,1,1,0,"375 King St W, Toronto, ON M5V 1K1, Canada",43.64564100,-79.39295340,2400,1,1,0,"1"
1081,2,2,0,"88 Park Lawn Rd, Etobicoke, ON M8Y 0B6, Canada",43.62407470,-79.48491710,2350,1,1,0,"4"
